day,campaign,campaign_type,ad_group,ad_name,ad_type,campaign_bid_strategy_type,ad_group_bid_strategy_type,ctr,avg_cpc,impr,cvr,clicks,cost__conv,conversions,cost,avg_cpm,mes,cost_con_iva,dia_semana,cuartil,quadrant,categoria_campana,outlier_flag
2025-07-14,Marca - 2024 - CDMX,Search,OFIFLEX BC,--,Call-only ad,Maximize Conversion Value,Maximize Conversion Value,0.3333,15.4,3.0,0.0,1.0,0.0,0.0,15.4,5133.3,7,17.864,Monday,Q1,Éxito Total,Conversiones,True
2025-07-14,Marca - 2024 - CDMX,Search,OFIFLEX BC,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.2703,12.45,74.0,0.1,20.0,124.51,2.0,249.02,3365.14,7,288.8632,Monday,Q3,Éxito Total,Conversiones,False
2025-07-14,Marca - 2024 - MTY,Search,OFIFLEX BC,--,Responsive search ad,Maximize Conversion Value,Maximize Conversion Value,0.1222,24.94,90.0,0.0,11.0,0.0,0.0,274.37,3048.6,7,318.26919999999996,Monday,Q3,Éxito Total,Conversiones,False
2025-07-14,Oficinas All-Inclusive - 2024 - CDMX,Search,Oficinas CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0525,49.9,2379.0,0.04,125.0,1247.52,5.0,6237.61,2621.95,7,7235.627599999999,Monday,Q4,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Oficinas All-Inclusive - 2024 - CDMX,Search,Renta de Oficinas,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.048799999999999996,57.73,2232.0,0.0366,109.0,1577.54,3.99,6292.64,2819.28,7,7299.462399999999,Monday,Q4,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Oficinas All-Inclusive - 2024 - GDL,Search,Oficinas GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0776,30.17,232.0,0.0,18.0,0.0,0.0,543.01,2340.55,7,629.8915999999999,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Oficinas All-Inclusive - 2024 - GDL,Search,Renta de Oficinas,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0371,32.27,350.0,0.07690000000000001,13.0,419.54,1.0,419.54,1198.69,7,486.6664,Monday,Q3,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Oficinas All-Inclusive - 2024 - MTY,Search,Oficinas MTY,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0761,49.21,473.0,0.0278,36.0,1771.54,1.0,1771.54,3745.32,7,2054.9864,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Oficinas All-Inclusive - 2024 - MTY,Search,Renta de Oficinas,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.045899999999999996,38.33,327.0,0.1333,15.0,287.46,2.0,574.92,1758.16,7,666.9071999999999,Monday,Q4,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,Skippable,Responsive video ad,Target CPM,Target CPM,0.0005,19.39,45351.0,0.0,24.0,0.0,0.0,465.46,10.26,7,539.9336,Monday,Q4,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,Bumper,Responsive video ad,Target CPM,Target CPM,0.0004,16.15,36014.0,0.0,15.0,0.0,0.0,242.32,6.73,7,281.09119999999996,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,Skippable - 30s,Responsive video ad,Target CPM,Target CPM,0.0032,1.86,11015.0,0.0,35.0,0.0,0.0,64.95,5.9,7,75.342,Monday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,Skippable - 2 min,Responsive video ad,Target CPM,Target CPM,0.0002,59.84,29679.0,0.0,6.0,0.0,0.0,359.03,12.1,7,416.47479999999996,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,Bumper - 6s,Responsive video ad,Target CPM,Target CPM,0.0005,14.77,26597.0,0.0,13.0,0.0,0.0,192.0,7.22,7,222.71999999999997,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,COLD #1 Vertical 2024,Responsive video ad,Target CPM,Target CPM,0.0009,8.73,8081.0,0.0,7.0,0.0,0.0,61.13,7.56,7,70.9108,Monday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YouTube - Awareness - Video Reach (Cold),Video,Cold,COLD #2 Vertical 2024,Responsive video ad,Target CPM,Target CPM,0.0007000000000000001,9.79,4351.0,0.0,3.0,0.0,0.0,29.36,6.75,7,34.057599999999994,Monday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - Awareness - PUE (Inxignia),Video,Nuevos prospectos,Inxignia Bienvenida - VO - 30s,Responsive video ad,Target CPM,Target CPM,0.0019,5.74,9836.0,0.0,19.0,0.0,0.0,109.12,11.09,7,126.5792,Monday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - Awareness - PUE (Inxignia),Video,Nuevos prospectos,Inxignia Apertura - 30s,Responsive video ad,Target CPM,Target CPM,0.001,10.76,12764.0,0.0,13.0,0.0,0.0,139.87,10.96,7,162.2492,Monday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - OFIFLEX El lounge - 2025,Video,IOC - General,Executive Office Horizontal #1,Responsive video ad,Target CPM,Target CPM,0.002,10.22,18181.0,0.0,37.0,0.0,0.0,378.17,20.8,7,438.67719999999997,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - OFIFLEX El lounge - 2025,Video,IOC - General,General Vertical #1,Responsive video ad,Target CPM,Target CPM,0.0013,8.15,32725.0,0.0,44.0,0.0,0.0,358.78,10.96,7,416.18479999999994,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - OFIFLEX El lounge - 2025,Video,IOC - General,Adaptalo a ti Horizontal #1,Responsive video ad,Target CPM,Target CPM,0.0018,11.5,18796.0,0.0,34.0,0.0,0.0,390.95,20.8,7,453.50199999999995,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - PODCAST - 2025,Video,Promocion,Video de promocion,Responsive video ad,Target CPV,Target CPV,0.0023,4.35,22630.0,0.0,53.0,0.0,0.0,230.68,10.19,7,267.5888,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - PODCAST - 2025,Video,Promocion,Episodio #1,Responsive video ad,Target CPV,Target CPV,0.0034999999999999996,3.41,575.0,0.0,2.0,0.0,0.0,6.82,11.85,7,7.9112,Monday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - PODCAST - 2025,Video,Promocion,Episodio #2,Responsive video ad,Target CPV,Target CPV,0.004,3.46,21883.0,0.0,87.0,0.0,0.0,301.09,13.76,7,349.26439999999997,Monday,Q3,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - PODCAST - 2025,Video,Promocion,Episodio #2.1,Responsive video ad,Target CPV,Target CPV,0.0026,4.63,6551.0,0.0,17.0,0.0,0.0,78.64,12.0,7,91.2224,Monday,Q2,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - PODCAST - 2025,Video,Promocion,Episodio #2.3,Responsive video ad,Target CPV,Target CPV,0.0037,3.35,1089.0,0.0,4.0,0.0,0.0,13.4,12.3,7,15.543999999999999,Monday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,YT - PODCAST - 2025,Video,Promocion,Episodio #2.2,Responsive video ad,Target CPV,Target CPV,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1.37,15.03,7,1.5892,Monday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-15,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1182,13.07,110.0,0.0,13.0,0.0,0.0,169.96,1545.05,7,197.15359999999998,Tuesday,Q3,Éxito Total,Conversiones,False
2025-07-15,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1429,16.1,350.0,0.04,50.0,402.5,2.0,805.0,2300.0,7,933.8,Tuesday,Q4,Éxito Total,Conversiones,False
2025-07-15,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.13849999999999998,13.82,130.0,0.0,18.0,0.0,0.0,248.75,1913.46,7,288.54999999999995,Tuesday,Q3,Éxito Total,Conversiones,False
2025-07-15,Competencia - 2024 - CDMX,Search,IOS Offices,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0089,73.98,112.0,0.0,1.0,0.0,0.0,73.98,660.54,7,85.8168,Tuesday,Q2,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-15,Competencia - 2024 - CDMX,Search,WeWork,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.023700000000000002,34.36,548.0,0.0,13.0,0.0,0.0,446.7,815.14,7,518.1719999999999,Tuesday,Q4,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-15,Cowork - 2024 - CDMX,Search,Cowork CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0394,35.71,279.0,0.0,11.0,0.0,0.0,392.76,1407.74,7,455.60159999999996,Tuesday,Q3,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-15,Cowork - 2024 - CDMX,Search,Cowork CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0667,10.38,150.0,0.0,10.0,0.0,0.0,103.75,691.67,7,120.35,Tuesday,Q2,Éxito Total,Conversiones,False
2025-07-15,Cowork - 2024 - GDL,Search,Cowork GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0789,58.34,114.0,0.11109999999999999,9.0,525.05,1.0,525.05,4605.7,7,609.0579999999999,Tuesday,Q4,Éxito Total,Conversiones,False
